date,home,away,home_score,away_score,home_pitcher,away_pitcher,canceled
2016-03-25,巨人,ヤクルト,3,1,菅野敗：小川,小川,0
2016-03-25,阪神,中日,2,5,大野敗：メッセンジャー,メッセンジャー,0
2016-03-25,広島,DeNA,1,2,井納敗：ジョンソン,ジョンソン,0
2016-03-25,楽天,ソフトバンク,7,3,則本敗：攝津,攝津,0
2016-03-25,西武,オリックス,5,4,増田敗：コーディエ,コーディエ,0
2016-03-25,ロッテ,日本ハム,3,2,涌井敗：大谷,大谷,0
2016-03-26,巨人,ヤクルト,10,5,高木敗：石川,石川,0
2016-03-26,阪神,中日,7,3,能見敗：山井,山井,0
2016-03-26,広島,DeNA,3,1,黒田敗：久保康,久保康,0
2016-03-26,楽天,ソフトバンク,3,3,,,0
2016-03-26,西武,オリックス,9,5,牧田敗：小松,小松,0
2016-03-26,ロッテ,日本ハム,6,4,藤岡敗：鍵谷,鍵谷,0
2016-03-27,巨人,ヤクルト,3,2,マシソン敗：秋吉,秋吉,0
2016-03-27,阪神,中日,5,4,榎田敗：岡田,岡田,0
2016-03-27,広島,DeNA,6,3,オスカル敗：須田,須田,0
2016-03-27,楽天,ソフトバンク,0,7,武田敗：青山,青山,0
2016-03-27,西武,オリックス,4,5,ディクソン敗：バンヘッケン,バンヘッケン,0
2016-03-27,ロッテ,日本ハム,0,1,有原敗：スタンリッジ,スタンリッジ,0
2016-03-29,ヤクルト,阪神,2,6,藤浪敗：館山,館山,0
2016-03-29,DeNA,巨人,2,6,ポレダ敗：今永,今永,0
2016-03-29,中日,広島,4,2,若松敗：野村,野村,0
2016-03-29,日本ハム,オリックス,13,3,吉川敗：西,西,0
2016-03-29,ロッテ,楽天,12,2,石川敗：辛島,辛島,0
2016-03-29,ソフトバンク,西武,2,6,岸敗：和田,和田,0
2016-03-30,ヤクルト,阪神,8,4,成瀬敗：岩田,岩田,0
2016-03-30,DeNA,巨人,6,3,モスコーソ敗：桜井,桜井,0
2016-03-30,中日,広島,3,11,横山敗：濱田達,濱田達,0
2016-03-30,日本ハム,オリックス,4,5,東明敗：バース,バース,0
2016-03-30,ロッテ,楽天,0,5,美馬敗：二木,二木,0
2016-03-30,ソフトバンク,西武,5,4,千賀敗：野上,野上,0
2016-03-31,ヤクルト,阪神,6,6,,,0
2016-03-31,DeNA,巨人,4,6,澤村敗：福地,福地,0
2016-03-31,中日,広島,9,5,小熊敗：中田,中田,0
2016-04-01,ヤクルト,中日,4,1,小川敗：大野,大野,0
2016-04-01,DeNA,阪神,2,1,須田敗：能見,能見,0
2016-04-01,広島,巨人,4,6,澤村敗：今村,今村,0
2016-04-01,日本ハム,ソフトバンク,4,3,高梨敗：森,森,0
2016-04-01,楽天,西武,4,2,則本敗：菊池,菊池,0
2016-04-01,オリックス,ロッテ,3,4,涌井敗：佐藤達,佐藤達,0
2016-04-02,ヤクルト,中日,7,1,石川敗：山井,山井,0
2016-04-02,DeNA,阪神,0,5,岩貞敗：久保康,久保康,0
2016-04-02,広島,巨人,3,0,黒田敗：田口,田口,0
2016-04-02,日本ハム,ソフトバンク,3,4,バンデンハーク敗：メンドーサ,メンドーサ,0
2016-04-02,楽天,西武,15,4,塩見敗：十亀,十亀,0
2016-04-02,オリックス,ロッテ,2,6,大嶺祐敗：佐藤達,佐藤達,0
2016-04-03,ヤクルト,中日,2,3,ネイラー敗：原樹,原樹,0
2016-04-03,DeNA,阪神,3,8,藤川敗：石田,石田,0
2016-04-03,広島,巨人,3,4,澤村敗：ジャクソン,ジャクソン,0
2016-04-03,日本ハム,ソフトバンク,4,3,有原敗：武田,武田,0
2016-04-03,楽天,西武,2,3,髙橋朋敗：福山,福山,0
2016-04-03,オリックス,ロッテ,3,1,ディクソン敗：スタンリッジ,スタンリッジ,0
2016-04-05,巨人,阪神,2,8,藤浪敗：ポレダ,ポレダ,0
2016-04-05,中日,DeNA,1,0,若松敗：今永,今永,0
2016-04-05,広島,ヤクルト,12,5,野村敗：成瀬,成瀬,0
2016-04-05,西武,日本ハム,10,0,岸敗：吉川,吉川,0
2016-04-05,オリックス,楽天,0,11,辛島敗：西,西,0
2016-04-05,ソフトバンク,ロッテ,4,4,,,0
2016-04-06,巨人,阪神,3,0,菅野敗：岩田,岩田,0
2016-04-06,中日,DeNA,3,0,小熊敗：モスコーソ,モスコーソ,0
2016-04-06,広島,ヤクルト,6,3,ジョンソン敗：寺田,寺田,0
2016-04-06,西武,日本ハム,5,2,野上敗：バース,バース,0
2016-04-06,オリックス,楽天,2,5,美馬敗：東明,東明,0
2016-04-06,ソフトバンク,ロッテ,3,4,内敗：サファテ,サファテ,0
2016-04-07,巨人,阪神,1,10,メッセンジャー敗：平良,平良,0
2016-04-07,中日,DeNA,1,1,,,0
2016-04-07,オリックス,楽天,,,,,1
2016-04-07,ソフトバンク,ロッテ,8,17,涌井敗：攝津,攝津,0
2016-04-08,DeNA,ヤクルト,2,3,小川敗：井納,井納,0
2016-04-08,中日,巨人,3,2,大野敗：高木,高木,0
2016-04-08,阪神,広島,3,2,髙橋敗：中﨑,中﨑,0
2016-04-08,楽天,日本ハム,5,3,則本敗：メンドーサ,メンドーサ,0
2016-04-08,ロッテ,西武,3,5,菊池敗：古谷,古谷,0
2016-04-09,DeNA,ヤクルト,10,5,山口敗：石川,石川,0
2016-04-09,中日,巨人,0,0,,,0
2016-04-09,阪神,広島,2,6,永川敗：榎田,榎田,0
2016-04-09,楽天,日本ハム,7,9,マーティン敗：リズ,リズ,0
2016-04-09,ロッテ,西武,4,5,牧田敗：南,南,0
2016-04-09,ソフトバンク,オリックス,13,1,バンデンハーク敗：金子千尋,金子千尋,0
2016-04-10,DeNA,ヤクルト,6,5,石田敗：原樹,原樹,0
2016-04-10,中日,巨人,2,7,戸根敗：ネイラー,ネイラー,0
2016-04-10,阪神,広島,7,8,福井敗：藤川,藤川,0
2016-04-10,楽天,日本ハム,1,0,釜田敗：大谷,大谷,0
2016-04-10,ロッテ,西武,4,2,スタンリッジ敗：バンヘッケン,バンヘッケン,0
2016-04-10,ソフトバンク,オリックス,10,0,武田敗：西,西,0
2016-04-12,ヤクルト,巨人,6,2,成瀬敗：ポレダ,ポレダ,0
2016-04-12,阪神,DeNA,4,3,藤浪敗：久保康,久保康,0
2016-04-12,広島,中日,3,1,野村敗：若松,若松,0
2016-04-12,楽天,ロッテ,1,7,二木敗：辛島,辛島,0
2016-04-12,西武,ソフトバンク,1,4,和田敗：岸,岸,0
2016-04-12,オリックス,日本ハム,0,4,吉川敗：ディクソン,ディクソン,0
2016-04-13,ヤクルト,巨人,0,8,菅野敗：館山,館山,0
2016-04-13,阪神,DeNA,,,,,1
2016-04-13,広島,中日,,,,,1
2016-04-13,楽天,ロッテ,4,5,益田敗：戸村,戸村,0
2016-04-13,西武,ソフトバンク,1,5,千賀敗：野上,野上,0
2016-04-13,オリックス,日本ハム,4,3,平野敗：高梨,高梨,0
2016-04-14,ヤクルト,巨人,6,4,ルーキ敗：山口,山口,0
2016-04-14,阪神,DeNA,5,2,メッセンジャー敗：今永,今永,0
2016-04-14,広島,中日,10,1,ジョンソン敗：小熊,小熊,0
2016-04-14,楽天,ロッテ,2,9,涌井敗：ブリガム,ブリガム,0
2016-04-14,オリックス,日本ハム,1,0,山﨑福敗：バース,バース,0
2016-04-15,中日,阪神,6,0,ジョーダン敗：能見,能見,0
2016-04-15,日本ハム,ロッテ,13,3,メンドーサ敗：古谷,古谷,0
2016-04-15,オリックス,西武,7,4,近藤敗：菊池,菊池,0
2016-04-15,ソフトバンク,楽天,3,2,東浜敗：則本,則本,0
2016-04-16,巨人,広島,6,5,田原誠敗：黒田,黒田,0
2016-04-16,ヤクルト,DeNA,4,0,石川敗：井納,井納,0
2016-04-16,中日,阪神,4,3,福谷敗：マテオ,マテオ,0
2016-04-16,日本ハム,ロッテ,8,2,加藤敗：大嶺祐,大嶺祐,0
2016-04-16,オリックス,西武,4,7,牧田敗：金子千尋,金子千尋,0
2016-04-16,ソフトバンク,楽天,,,,,1
2016-04-17,巨人,広島,2,1,マシソン敗：ジャクソン,ジャクソン,0
2016-04-17,ヤクルト,DeNA,5,4,松岡敗：山﨑康,山﨑康,0
2016-04-17,中日,阪神,4,2,又吉敗：高宮,高宮,0
2016-04-17,日本ハム,ロッテ,3,5,西野敗：増井,増井,0
2016-04-17,オリックス,西武,5,2,西敗：バンヘッケン,バンヘッケン,0
2016-04-17,ソフトバンク,楽天,9,7,森敗：戸村,戸村,0
2016-04-19,巨人,中日,,,,,1
2016-04-19,DeNA,広島,4,6,中田敗：ペトリック,ペトリック,0
2016-04-19,阪神,ヤクルト,8,4,髙橋敗：ペレス,ペレス,0
2016-04-19,日本ハム,西武,1,0,吉川敗：岸,岸,0
2016-04-19,楽天,オリックス,2,3,塚原敗：戸村,戸村,0
2016-04-19,ロッテ,ソフトバンク,1,2,バンデンハーク敗：石川,石川,0
2016-04-20,巨人,中日,,,,,1
2016-04-20,DeNA,広島,10,0,モスコーソ敗：ジョンソン,ジョンソン,0
2016-04-20,阪神,ヤクルト,1,5,山中敗：守屋,守屋,0
2016-04-20,日本ハム,西武,2,9,野上敗：中村,中村,0
